step,weight:l:0:0:0, weight:l:0:1:0, weight:l:0:2:0, weight:l:0:3:0, bias:l:0:0, error
0,-0.16886, -0.220422, 0.462831, 0.034165, 0.000344369, 0.000288569
1,-0.143498, -0.219775, 0.527787, 0.0303429, 0.000451375, 0.000285653
2,-0.138255, -0.219642, 0.541256, 0.0295515, 0.000472537, 0.000285437
3,-0.137156, -0.219614, 0.544079, 0.0293857, 0.000476928, 0.000285409
4,-0.136926, -0.219608, 0.544672, 0.0293508, 0.000477849, 0.000285404
5,-0.136877, -0.219606, 0.544797, 0.0293435, 0.000478042, 0.000285402
6,-0.136867, -0.219606, 0.544823, 0.029342, 0.000478083, 0.000285402
7,-0.136865, -0.219606, 0.544829, 0.0293416, 0.000478091, 0.000285402
8,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478093, 0.000285402
9,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478093, 0.000285402
10,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
11,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
12,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
13,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
14,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
15,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
16,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
17,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
18,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
19,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
20,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
21,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
22,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
23,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
24,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
25,-0.136864, -0.219606, 0.54483, 0.0293416, 0.000478094, 0.000285402
