step,weight:l:0:0:0, weight:l:0:0:1, weight:l:0:0:2, weight:l:0:1:0, weight:l:0:1:1, weight:l:0:1:2, bias:l:0:0, bias:l:0:1, bias:l:0:2, weight:l:1:0:0, weight:l:1:0:1, weight:l:1:0:2, weight:l:1:1:0, weight:l:1:1:1, weight:l:1:1:2, weight:l:1:2:0, weight:l:1:2:1, weight:l:1:2:2, bias:l:1:0, bias:l:1:1, bias:l:1:2, weight:l:2:0:0, weight:l:2:0:1, weight:l:2:0:2, weight:l:2:1:0, weight:l:2:1:1, weight:l:2:1:2, weight:l:2:2:0, weight:l:2:2:1, weight:l:2:2:2, bias:l:2:0, bias:l:2:1, bias:l:2:2, weight:l:3:0:0, weight:l:3:1:0, weight:l:3:2:0, bias:l:3:0, error
9,-1.27458, 0.0960412, 5.99316, 3.91733, 5.12469, 0.376764, -1.34236, -2.63161, -3.16981, 1.69094, 2.41051, -0.563863, 2.84748, 2.64683, 0.613268, 1.48254, -2.36839, 4.46145, -3.02913, -1.31959, -2.20464, 0.939367, 1.86987, 3.52238, 2.0149, -0.864997, 2.64911, -2.40656, 3.64093, -0.391443, -0.37948, -2.20105, -2.65944, 0.107888, -0.0137959, 0.0521196, -0.00843829, 0.500542
19,-1.27208, 0.099807, 5.99507, 3.91943, 5.12663, 0.375685, -1.34658, -2.63017, -3.16801, 1.69769, 2.41027, -0.567638, 2.85549, 2.64886, 0.609592, 1.49785, -2.36643, 4.46599, -3.01365, -1.33008, -2.20415, 0.950533, 1.87494, 3.53583, 2.02213, -0.867539, 2.65755, -2.39831, 3.65969, -0.376039, -0.375479, -2.19236, -2.64606, 0.168375, -0.0140801, 0.0656669, -0.0469996, 0.500702
29,-1.27365, 0.10249, 5.99817, 3.91746, 5.12735, 0.375646, -1.3591, -2.63113, -3.16383, 1.70464, 2.40183, -0.569044, 2.86375, 2.64268, 0.608256, 1.51407, -2.37276, 4.4731, -2.99733, -1.35753, -2.19837, 0.95094, 1.88091, 3.54862, 2.01877, -0.86924, 2.66489, -2.40205, 3.67894, -0.360578, -0.394962, -2.18264, -2.63394, 0.226486, -0.000937942, 0.0703298, -0.0834911, 0.500249
39,-1.2798, 0.103973, 6.00277, 3.91109, 5.12695, 0.376836, -1.38002, -2.63429, -3.15683, 1.7126, 2.38487, -0.567681, 2.8731, 2.62764, 0.609713, 1.53144, -2.38847, 4.48367, -2.97927, -1.40252, -2.1859, 0.939653, 1.88928, 3.56123, 2.0056, -0.868623, 2.67171, -2.42079, 3.69952, -0.344755, -0.441552, -2.17015, -2.62198, 0.305862, 0.0214602, 0.0686093, -0.125601, 0.498609
49,-1.29246, 0.103678, 6.00942, 3.89891, 5.12524, 0.379371, -1.41179, -2.64018, -3.14617, 1.72268, 2.35718, -0.563609, 2.88468, 2.601, 0.613902, 1.55002, -2.41728, 4.49907, -2.95863, -1.47029, -2.16448, 0.915037, 1.90164, 3.57404, 1.98462, -0.86406, 2.67843, -2.46109, 3.72219, -0.328373, -0.524809, -2.15346, -2.6093, 0.429305, 0.0544198, 0.0602643, -0.181005, 0.494432
59,-1.31344, 0.101154, 6.01856, 3.88009, 5.12252, 0.382614, -1.45653, -2.64894, -3.13129, 1.73706, 2.31823, -0.558947, 2.90079, 2.56158, 0.618537, 1.57021, -2.46232, 4.52025, -2.93375, -1.56531, -2.13257, 0.88217, 1.92059, 3.58753, 1.96709, -0.852857, 2.68534, -2.52799, 3.74822, -0.311228, -0.651413, -2.13062, -2.59497, 0.616438, 0.104564, 0.0449328, -0.256269, 0.485667
69,-1.34146, 0.0971318, 6.02982, 3.85758, 5.12067, 0.384441, -1.51168, -2.65877, -3.11314, 1.75911, 2.27472, -0.558943, 2.92514, 2.51597, 0.617944, 1.59322, -2.52027, 4.54624, -2.90162, -1.68172, -2.09192, 0.861036, 1.95072, 3.60236, 1.97871, -0.830428, 2.69255, -2.61614, 3.77971, -0.293058, -0.811249, -2.0987, -2.57808, 0.869227, 0.182157, 0.0226858, -0.354807, 0.47138
79,-1.37228, 0.0933543, 6.04226, 3.83748, 5.12271, 0.382576, -1.5699, -2.66638, -3.09386, 1.79178, 2.23873, -0.567747, 2.96112, 2.47696, 0.607698, 1.62057, -2.58208, 4.57511, -2.85982, -1.80323, -2.04629, 0.875151, 1.99884, 3.61948, 2.04284, -0.790543, 2.70003, -2.71266, 3.81926, -0.273604, -0.981778, -2.05477, -2.5577, 1.16814, 0.295621, -0.0104509, -0.477271, 0.452432
89,-1.40257, 0.0909328, 6.05519, 3.82432, 5.13074, 0.376985, -1.62503, -2.6697, -3.07498, 1.83556, 2.21857, -0.58324, 3.00973, 2.45365, 0.590383, 1.65221, -2.6411, 4.60608, -2.81001, -1.91533, -1.99754, 0.930365, 2.07245, 3.64045, 2.1606, -0.727346, 2.70808, -2.81069, 3.86842, -0.252843, -1.14972, -1.99866, -2.53243, 1.49052, 0.44925, -0.0664286, -0.623324, 0.42924
99,-1.43077, 0.0896813, 6.06803, 3.81962, 5.14511, 0.369537, -1.674, -2.66931, -3.0577, 1.88812, 2.21647, -0.59943, 3.06894, 2.44875, 0.573075, 1.68445, -2.69434, 4.63894, -2.76019, -2.00997, -1.94756, 1.01542, 2.17591, 3.66768, 2.31591, -0.638772, 2.71768, -2.91028, 3.92639, -0.231779, -1.31412, -1.93659, -2.50052, 1.81951, 0.64479, -0.160803, -0.789888, 0.401779
109,-1.45589, 0.0881693, 6.07988, 3.82328, 5.16466, 0.362007, -1.7154, -2.66813, -3.04429, 1.94486, 2.2309, -0.612267, 3.13397, 2.46123, 0.560988, 1.70877, -2.73988, 4.67308, -2.72442, -2.0832, -1.90266, 1.11338, 2.30531, 3.7035, 2.48829, -0.530336, 2.73045, -3.0122, 3.99011, -0.214062, -1.4767, -1.8828, -2.4616, 2.14094, 0.879725, -0.305088, -0.968172, 0.370946
119,-1.47706, 0.0841555, 6.08973, 3.83455, 5.18753, 0.355026, -1.74837, -2.66989, -3.0378, 2.00108, 2.2584, -0.622043, 3.19935, 2.4882, 0.554534, 1.71384, -2.77604, 4.70789, -2.7172, -2.13395, -1.87244, 1.20995, 2.44832, 3.74886, 2.66076, -0.414131, 2.7483, -3.11553, 4.0565, -0.206614, -1.63658, -1.85325, -2.41834, 2.44372, 1.14597, -0.50209, -1.14352, 0.338378
129,-1.49352, 0.0759432, 6.09709, 3.85264, 5.21225, 0.348694, -1.77207, -2.67659, -3.03969, 2.05469, 2.29495, -0.630644, 3.26209, 2.52612, 0.551881, 1.69167, -2.80173, 4.74363, -2.74467, -2.16352, -1.86268, 1.29715, 2.5928, 3.80378, 2.8231, -0.301036, 2.77301, -3.21852, 4.12539, -0.216631, -1.79082, -1.85361, -2.3749, 2.72287, 1.43278, -0.74745, -1.30131, 0.305004
139,-1.50453, 0.0637362, 6.10235, 3.87684, 5.23809, 0.343216, -1.78577, -2.68735, -3.04873, 2.10617, 2.337, -0.638869, 3.32218, 2.57162, 0.551835, 1.64308, -2.8168, 4.78128, -2.80079, -2.17454, -1.87209, 1.37262, 2.73261, 3.86873, 2.97102, -0.196051, 2.80593, -3.31974, 4.1993, -0.247042, -1.93653, -1.87715, -2.33291, 2.97883, 1.72932, -1.03312, -1.43402, 0.270935
149,-1.51002, 0.04937, 6.10654, 3.90581, 5.26446, 0.338754, -1.78965, -2.69953, -3.06232, 2.15652, 2.38157, -0.64672, 3.38053, 2.62131, 0.553811, 1.57683, -2.82262, 4.82158, -2.87204, -2.17048, -1.8955, 1.43707, 2.86547, 3.94346, 3.10352, -0.100376, 2.84753, -3.4181, 4.2803, -0.29578, -2.07192, -1.91318, -2.29043, 3.21432, 2.02535, -1.34696, -1.54183, 0.236709
159,-1.51139, 0.0347611, 6.11073, 3.93693, 5.29042, 0.335318, -1.78551, -2.71076, -3.07795, 2.20581, 2.42571, -0.65421, 3.43715, 2.67123, 0.557186, 1.50371, -2.82239, 4.86434, -2.94508, -2.15568, -1.92767, 1.49226, 2.98993, 4.02457, 3.22092, -0.0142044, 2.89701, -3.51258, 4.36754, -0.358647, -2.19609, -1.95389, -2.24456, 3.43182, 2.31188, -1.67278, -1.62897, 0.203711
169,-1.51109, 0.0209112, 6.11566, 3.967, 5.3148, 0.332826, -1.77613, -2.71987, -3.09388, 2.25318, 2.46672, -0.66148, 3.49099, 2.71737, 0.561264, 1.43171, -2.82018, 4.90853, -3.01134, -2.13454, -1.96458, 1.53997, 3.10468, 4.10647, 3.32413, 0.0624826, 2.95224, -3.60205, 4.45769, -0.431302, -2.30842, -1.99526, -2.19353, 3.6329, 2.5818, -1.99427, -1.70025, 0.173507
179,-1.51135, 0.00803412, 6.12153, 3.99348, 5.33665, 0.331152, -1.76402, -2.72664, -3.10914, 2.29756, 2.50278, -0.668643, 3.54081, 2.757, 0.565469, 1.36495, -2.81923, 4.95277, -3.06716, -2.11028, -2.00326, 1.58172, 3.20893, 4.18422, 3.41445, 0.130024, 3.01052, -3.68551, 4.54683, -0.509633, -2.40855, -2.03511, -2.13691, 3.81853, 2.83027, -2.29946, -1.75928, 0.147119
189,-1.51336, -0.00397641, 6.12824, 4.01521, 5.35555, 0.330136, -1.75068, -2.73123, -3.12329, 2.33826, 2.53331, -0.675709, 3.58584, 2.78918, 0.569433, 1.30473, -2.82112, 4.99586, -3.11219, -2.08456, -2.04151, 1.61859, 3.30257, 4.25512, 3.49337, 0.189102, 3.0694, -3.76236, 4.63192, -0.590115, -2.49658, -2.07196, -2.0754, 3.98941, 3.05495, -2.5821, -1.80816, 0.12481
199,-1.51736, -0.0152675, 6.13549, 4.03219, 5.37152, 0.329611, -1.73677, -2.73394, -3.1362, 2.37502, 2.5586, -0.682628, 3.62591, 2.81432, 0.572973, 1.25088, -2.82606, 5.03696, -3.14764, -2.05801, -2.07786, 1.65131, 3.38605, 4.31835, 3.56239, 0.240602, 3.12718, -3.83246, 4.71115, -0.670153, -2.5732, -2.10471, -2.01056, 4.14633, 3.25561, -2.84049, -1.84803, 0.106305
209,-1.52312, -0.0259433, 6.14301, 4.04495, 5.38484, 0.329432, -1.72257, -2.73511, -3.14791, 2.40794, 2.57939, -0.689338, 3.66121, 2.83342, 0.576023, 1.20268, -2.83362, 5.0756, -3.17522, -2.03085, -2.11143, 1.6804, 3.46016, 4.37422, 3.62288, 0.285474, 3.18279, -3.89612, 4.78376, -0.748069, -2.63951, -2.13281, -1.94434, 4.29021, 3.43342, -3.0755, -1.87967, 0.091085
219,-1.53021, -0.0360621, 6.15055, 4.05424, 5.39588, 0.329483, -1.7082, -2.73503, -3.1585, 2.4373, 2.59649, -0.695793, 3.69219, 2.84762, 0.578585, 1.15934, -2.84314, 5.11158, -3.1966, -2.00329, -2.14188, 1.70625, 3.52585, 4.42349, 3.67608, 0.324644, 3.23566, -3.95385, 4.84964, -0.822867, -2.69675, -2.15612, -1.87864, 4.4221, 3.59031, -3.28914, -1.90388, 0.0785915
229,-1.53824, -0.0456524, 6.15797, 4.06076, 5.40502, 0.329679, -1.69379, -2.73402, -3.16807, 2.46347, 2.61061, -0.701965, 3.71937, 2.85797, 0.580689, 1.12016, -2.854, 5.1449, -3.21321, -1.97559, -2.16917, 1.72927, 3.58412, 4.46706, 3.72307, 0.358959, 3.28553, -4.00628, 4.90909, -0.893994, -2.74616, -2.1749, -1.81505, 4.54317, 3.72851, -3.48363, -1.92158, 0.068318
239,-1.54684, -0.0547275, 6.16516, 4.06513, 5.41259, 0.329961, -1.67949, -2.7323, -3.17674, 2.48683, 2.62238, -0.707845, 3.74328, 2.86532, 0.582381, 1.08461, -2.86571, 5.17564, -3.22618, -1.9481, -2.19346, 1.74979, 3.63591, 4.50577, 3.76482, 0.389167, 3.33234, -4.054, 4.96259, -0.961176, -2.78889, -2.18959, -1.75474, 4.65453, 3.85025, -3.66116, -1.93375, 0.0598372
249,-1.55573, -0.0632958, 6.17205, 4.06785, 5.4189, 0.330287, -1.66544, -2.73011, -3.18458, 2.50773, 2.63225, -0.713436, 3.76438, 2.87038, 0.583708, 1.05222, -2.87786, 5.20395, -3.2364, -1.92114, -2.215, 1.76816, 3.68211, 4.54035, 3.80211, 0.415907, 3.37612, -4.0976, 5.01069, -1.02432, -2.82594, -2.20074, -1.69843, 4.75727, 3.95762, -3.82364, -1.94136, 0.0528012
