learning time, weight:l:0:0:0, weight:l:0:0:1, weight:l:0:1:0, weight:l:0:1:1, biasl:0:0, biasl:0:1, weight:l:1:0:0, weight:l:1:1:0, biasl:1:0, error
0, -0.0299249, -0.0184017, 0.00455662, 0.0199762, 0.00584206, 0.000244152, 0.034365, 0.0672865, 0.105681, 0.503048
1, -0.0284418, -0.0162561, 0.00455662, 0.0199762, 0.00732519, 0.00238978, 0.0739822, 0.107023, 0.185881, 0.50943
2, -0.0284418, -0.0162561, 0.00661447, 0.0226488, 0.00938304, 0.00506236, 0.111211, 0.144446, 0.259899, 0.518354
3, -0.0284418, -0.0162561, 0.0090909, 0.0256938, 0.0118595, 0.00810736, 0.145521, 0.178955, 0.327974, 0.528949
4, -0.0256743, -0.0129625, 0.0090909, 0.0256938, 0.0146269, 0.011401, 0.176604, 0.21017, 0.39066, 0.540486
5, -0.0256743, -0.0129625, 0.0120437, 0.0291305, 0.0175797, 0.0148378, 0.205664, 0.239421, 0.448098, 0.552539
6, -0.0225971, -0.00943586, 0.0120437, 0.0291305, 0.0206569, 0.0183644, 0.232076, 0.265966, 0.501137, 0.564668
7, -0.0194613, -0.00588415, 0.0120437, 0.0291305, 0.0237928, 0.0219161, 0.256503, 0.290526, 0.550038, 0.576659
8, -0.0194613, -0.00588415, 0.0120437, 0.0291305, 0.0185267, 0.0157719, 0.20434, 0.238411, 0.44694, 0.552269
9, -0.0194613, -0.00588415, 0.0120437, 0.0291305, 0.0145866, 0.0109466, 0.152017, 0.18616, 0.343254, 0.5316
10, -0.0166557, -0.00255176, 0.0120437, 0.0291305, 0.0173922, 0.014279, 0.182662, 0.216957, 0.404693, 0.543327
11, -0.013678, 0.000912152, 0.0120437, 0.0291305, 0.0203698, 0.0177429, 0.210909, 0.245359, 0.461166, 0.555436
12, -0.013678, 0.000912152, 0.0151159, 0.0326503, 0.023442, 0.0212627, 0.237235, 0.271873, 0.51298, 0.567607
13, -0.0184596, -0.00474205, 0.0103343, 0.0269961, 0.0186604, 0.0156085, 0.184848, 0.218712, 0.409493, 0.544234
14, -0.0184596, -0.00474205, 0.0103343, 0.0269961, 0.0152297, 0.0112997, 0.132626, 0.166568, 0.306013, 0.525215
15, -0.0205345, -0.00766247, 0.00825937, 0.0240757, 0.0131548, 0.00837923, 0.0815692, 0.114839, 0.204262, 0.511309
16, -0.0213303, -0.00926188, 0.00746356, 0.0224763, 0.012359, 0.00677982, 0.0323547, 0.0650361, 0.105876, 0.502985
17, -0.0198791, -0.00715214, 0.00746356, 0.0224763, 0.0138102, 0.00888956, 0.0723127, 0.105124, 0.186152, 0.509365
18, -0.0198791, -0.00715214, 0.00746356, 0.0224763, 0.0132448, 0.00752055, 0.0231711, 0.0561028, 0.0885428, 0.502056
19, -0.0198791, -0.00715214, 0.00746356, 0.0224763, 0.0137895, 0.00729881, -0.0234988, 0.0095656, -0.0041829, 0.500016
20, -0.0198791, -0.00715214, 0.00792461, 0.0236685, 0.0142506, 0.00849109, 0.0209624, 0.0542142, 0.0838045, 0.501846
21, -0.018614, -0.0052033, 0.00792461, 0.0236685, 0.0155157, 0.0104399, 0.0617942, 0.0951886, 0.165699, 0.507418
22, -0.018614, -0.0052033, 0.00981762, 0.0261967, 0.0174087, 0.0129681, 0.100075, 0.133671, 0.241373, 0.515801
23, -0.018614, -0.0052033, 0.00981762, 0.0261967, 0.0161678, 0.0108862, 0.0497442, 0.0834512, 0.14158, 0.505409
24, -0.0186567, -0.00603707, 0.00977492, 0.0253629, 0.0161251, 0.0100524, 0.00178755, 0.0349091, 0.0460192, 0.50052
25, -0.0176756, -0.00579193, 0.010756, 0.025608, 0.0171062, 0.0102976, -0.0434919, -0.0108697, -0.044213, 0.50064
26, -0.0176756, -0.00579193, 0.010756, 0.025608, 0.0189173, 0.0114185, -0.0859825, -0.0532168, -0.128473, 0.504902
27, -0.0176756, -0.00579193, 0.0098596, 0.0254958, 0.0180209, 0.0113063, -0.0376568, -0.00471605, -0.0332349, 0.500372
28, -0.0175126, -0.00488672, 0.0098596, 0.0254958, 0.0181838, 0.0122115, 0.00725808, 0.0403149, 0.0565793, 0.500812
29, -0.0164814, -0.00315967, 0.0098596, 0.0254958, 0.0192151, 0.0139386, 0.0491956, 0.0823919, 0.140426, 0.505315
30, -0.0164814, -0.00315967, 0.0098596, 0.0254958, 0.0191914, 0.0131194, 0.00099244, 0.0343147, 0.0449372, 0.500493
31, -0.0155629, -0.0015326, 0.0098596, 0.0254958, 0.0201098, 0.0147465, 0.0433876, 0.0768633, 0.129613, 0.504506
32, -0.0155629, -0.0015326, 0.0114913, 0.0277875, 0.0217415, 0.0170382, 0.0832052, 0.116882, 0.208072, 0.511778
33, -0.0134012, 0.00124135, 0.0114913, 0.0277875, 0.0239033, 0.0198122, 0.119499, 0.153344, 0.280436, 0.521305
34, -0.0108576, 0.00435044, 0.0114913, 0.0277875, 0.0264469, 0.0229213, 0.152937, 0.186958, 0.346962, 0.532304
35, -0.0108576, 0.00435044, 0.0114913, 0.0277875, 0.0238572, 0.0194563, 0.100937, 0.135049, 0.244321, 0.516214
36, -0.0121156, 0.00225849, 0.0102334, 0.0256955, 0.0225993, 0.0173643, 0.0503651, 0.0838001, 0.1444, 0.505598
37, -0.0121156, 0.00225849, 0.0119668, 0.0280787, 0.0243328, 0.0197475, 0.089673, 0.123306, 0.221746, 0.513358
38, -0.0121156, 0.00225849, 0.0119668, 0.0280787, 0.0233537, 0.0179327, 0.0395352, 0.0732814, 0.122676, 0.504025
39, -0.0121156, 0.00225849, 0.0119668, 0.0280787, 0.02355, 0.0173282, -0.00830356, 0.0255708, 0.0281026, 0.50017
40, -0.0121156, 0.00225849, 0.0119668, 0.0280787, 0.0247384, 0.0177592, -0.0533678, -0.0193548, -0.0609769, 0.501194
41, -0.0121156, 0.00225849, 0.0119668, 0.0280787, 0.0267182, 0.0190302, -0.0953953, -0.0612375, -0.144005, 0.506191
42, -0.0132446, 0.00195324, 0.0119668, 0.0280787, 0.0255892, 0.0187249, -0.0470362, -0.0127179, -0.0479879, 0.500765
43, -0.0113661, 0.00312181, 0.0138453, 0.0292473, 0.0274676, 0.0198935, -0.0895199, -0.0557145, -0.131935, 0.505252
44, -0.0113661, 0.00312181, 0.0138453, 0.0292473, 0.029972, 0.0217384, -0.128914, -0.0949612, -0.209655, 0.512857
45, -0.0113661, 0.00312181, 0.0138453, 0.0292473, 0.0329294, 0.0240859, -0.165251, -0.131152, -0.281258, 0.522641
46, -0.0113661, 0.00312181, 0.0109741, 0.027244, 0.0300582, 0.0220826, -0.113401, -0.079135, -0.179926, 0.509522
47, -0.0113661, 0.00312181, 0.00942259, 0.0265341, 0.0285067, 0.0213727, -0.0635516, -0.0290831, -0.0822314, 0.502082
48, -0.00923004, 0.00456512, 0.0115587, 0.0279774, 0.0306428, 0.022816, -0.104847, -0.0708766, -0.163739, 0.507924
49, -0.00923004, 0.00456512, 0.0102177, 0.0274648, 0.0293018, 0.0223033, -0.0553395, -0.0211612, -0.0667706, 0.501392
50, -0.00943558, 0.00514788, 0.0102177, 0.0274648, 0.0290963, 0.0228861, -0.00895198, 0.0253823, 0.0250826, 0.50014
51, -0.00869427, 0.00663114, 0.0102177, 0.0274648, 0.0298376, 0.0243693, 0.0344775, 0.0689919, 0.111096, 0.503339
52, -0.00720145, 0.00881631, 0.0102177, 0.0274648, 0.0313304, 0.0265545, 0.0748123, 0.109523, 0.190922, 0.510012
53, -0.00720145, 0.00881631, 0.0122843, 0.0301731, 0.0333969, 0.0292628, 0.112373, 0.147313, 0.264514, 0.51921
54, -0.00873779, 0.00642188, 0.0107479, 0.0277786, 0.0318606, 0.0268684, 0.0610812, 0.095273, 0.163867, 0.507344
55, -0.00873779, 0.00642188, 0.0126362, 0.0303176, 0.0337488, 0.0294073, 0.0997604, 0.13418, 0.239612, 0.515777
56, -0.00873779, 0.00642188, 0.0126362, 0.0303176, 0.0325262, 0.0273235, 0.0490306, 0.0835585, 0.139836, 0.505344
57, -0.00873779, 0.00642188, 0.0126362, 0.0303176, 0.0325141, 0.0264843, 0.000503744, 0.0351558, 0.0443354, 0.500489
58, -0.00873779, 0.00642188, 0.0135628, 0.0319822, 0.0334408, 0.0281489, 0.0437973, 0.0786959, 0.129011, 0.50456
59, -0.00862837, 0.00571926, 0.0136722, 0.0312795, 0.0335502, 0.0274463, -0.00460915, 0.0296181, 0.0340157, 0.500274
60, -0.00862837, 0.00571926, 0.0136722, 0.0312795, 0.034671, 0.0277984, -0.0501064, -0.0157426, -0.0554776, 0.50099
61, -0.00871751, 0.00641733, 0.0136722, 0.0312795, 0.0345818, 0.0284965, -0.00391014, 0.030624, 0.0357273, 0.500305
62, -0.00871751, 0.00641733, 0.0136722, 0.0312795, 0.03569, 0.0288283, -0.049485, -0.0148146, -0.0538734, 0.500938
63, -0.00871751, 0.00641733, 0.0136085, 0.0320106, 0.0356263, 0.0295593, -0.00279792, 0.0321171, 0.0372522, 0.500341
64, -0.00871751, 0.00641733, 0.0144771, 0.033627, 0.0364948, 0.0311757, 0.0408254, 0.0760028, 0.122403, 0.504126
65, -0.00871751, 0.00641733, 0.0160786, 0.0359261, 0.0380963, 0.0334748, 0.0812681, 0.116718, 0.201279, 0.511282
66, -0.00656999, 0.00921211, 0.0160786, 0.0359261, 0.0402438, 0.0362696, 0.118159, 0.1538, 0.273993, 0.520784
67, -0.00656999, 0.00921211, 0.0186195, 0.0390639, 0.0427847, 0.0394073, 0.152458, 0.188364, 0.340712, 0.531856
68, -0.00912695, 0.00576029, 0.0160626, 0.035612, 0.0402278, 0.0359555, 0.0997411, 0.134805, 0.238091, 0.515716
69, -0.00912695, 0.00576029, 0.0184222, 0.0385852, 0.0425874, 0.0389287, 0.135562, 0.170892, 0.307772, 0.526106
70, -0.0064359, 0.00901901, 0.0184222, 0.0385852, 0.0452785, 0.0421874, 0.16812, 0.203629, 0.371817, 0.537644
71, -0.00940045, 0.0051659, 0.0154577, 0.0347321, 0.0423139, 0.0383343, 0.115081, 0.149753, 0.26869, 0.519916
72, -0.00940045, 0.0051659, 0.0179696, 0.0378288, 0.0448259, 0.041431, 0.14965, 0.184579, 0.335888, 0.53089
73, -0.00660563, 0.00850173, 0.0179696, 0.0378288, 0.0476207, 0.0447668, 0.181076, 0.216177, 0.397646, 0.542746
74, -0.00660563, 0.00850173, 0.0179696, 0.0378288, 0.0443099, 0.0405469, 0.128141, 0.163316, 0.294239, 0.523872
75, -0.00660563, 0.00850173, 0.0179696, 0.0378288, 0.0423755, 0.0377177, 0.0762627, 0.111533, 0.19273, 0.510313
76, -0.00660563, 0.00850173, 0.0179696, 0.0378288, 0.0417332, 0.0362089, 0.026234, 0.0616182, 0.0947484, 0.502439
77, -0.00660563, 0.00850173, 0.0179696, 0.0378288, 0.0422291, 0.0358782, -0.0213074, 0.0142054, 0.0016088, 0.5
78, -0.00516025, 0.00918455, 0.019415, 0.0385116, 0.0436745, 0.036561, -0.066186, -0.0312978, -0.0858064, 0.5023
