learning time, weight:l:0:0:0, weight:l:0:0:1, weight:l:0:1:0, weight:l:0:1:1, biasl:0:0, biasl:0:1, weight:l:1:0:0, weight:l:1:1:0, biasl:1:0, error
0, -0.0287538, -0.0179464, 0.00498625, 0.0189798, 0.00627169, -0.000752224, -0.0528451, -0.0205464, -0.0692861, 0.501399
1, -0.0287538, -0.0179464, 0.00483362, 0.0195727, 0.00611906, -0.000159303, -0.00664475, 0.025814, 0.0225975, 0.50013
2, -0.0287538, -0.0179464, 0.00483362, 0.0195727, 0.00725728, 0.000254557, -0.0512229, -0.0186246, -0.0662869, 0.501277
3, -0.0288885, -0.017332, 0.00483362, 0.0195727, 0.00712258, 0.000868906, -0.00587792, 0.0268075, 0.0253884, 0.500161
4, -0.0277751, -0.0169362, 0.00594705, 0.0199686, 0.00823601, 0.00126475, -0.0500219, -0.0177825, -0.0636533, 0.501187
5, -0.0258804, -0.0157031, 0.00784167, 0.0212017, 0.0101306, 0.00249784, -0.0912621, -0.0593941, -0.146698, 0.506117
6, -0.0258804, -0.0157031, 0.00784167, 0.0212017, 0.0126264, 0.00437848, -0.129887, -0.0978727, -0.223559, 0.513991
7, -0.0229548, -0.0133396, 0.0107674, 0.0235652, 0.0155521, 0.00674198, -0.16521, -0.133466, -0.294395, 0.523908
8, -0.0229548, -0.0133396, 0.0107674, 0.0235652, 0.0187741, 0.00944529, -0.198009, -0.166122, -0.359488, 0.535091
9, -0.0229548, -0.0133396, 0.0107674, 0.0235652, 0.0221853, 0.0123779, -0.22819, -0.196163, -0.419289, 0.546955
10, -0.0194378, -0.0102608, 0.0142843, 0.0266439, 0.0257023, 0.0154566, -0.255823, -0.22397, -0.474281, 0.559128
11, -0.0194378, -0.0102608, 0.0142843, 0.0266439, 0.0292648, 0.0186147, -0.281467, -0.249484, -0.524917, 0.571198
12, -0.0253693, -0.0153669, 0.0142843, 0.0266439, 0.0233332, 0.0135086, -0.229526, -0.197581, -0.421544, 0.547487
13, -0.0253693, -0.0153669, 0.0142843, 0.0266439, 0.0268558, 0.0165922, -0.257238, -0.225158, -0.476327, 0.559609
14, -0.0306924, -0.0198586, 0.0142843, 0.0266439, 0.0215328, 0.0121005, -0.205358, -0.173285, -0.372644, 0.537659
15, -0.0272457, -0.01688, 0.017731, 0.0296225, 0.0249795, 0.0150791, -0.234792, -0.202922, -0.431364, 0.549658
16, -0.0272457, -0.01688, 0.0130206, 0.0257391, 0.0202691, 0.0111957, -0.181859, -0.149937, -0.32771, 0.529396
17, -0.0239208, -0.0140499, 0.0163455, 0.0285692, 0.0235939, 0.0140258, -0.213151, -0.181447, -0.390106, 0.541032
18, -0.0280921, -0.0174022, 0.0163455, 0.0285692, 0.0194226, 0.0106735, -0.161503, -0.129791, -0.286792, 0.522775
19, -0.0248982, -0.0147255, 0.0195394, 0.0312458, 0.0226165, 0.0133501, -0.194476, -0.162997, -0.352486, 0.533904
20, -0.0215073, -0.0118068, 0.0229303, 0.0341645, 0.0260074, 0.0162688, -0.224894, -0.193605, -0.412802, 0.5458
21, -0.0259853, -0.015475, 0.0229303, 0.0341645, 0.0215294, 0.0126007, -0.173012, -0.141725, -0.309272, 0.52644
22, -0.0259853, -0.015475, 0.0229303, 0.0341645, 0.0248047, 0.0153746, -0.205271, -0.173841, -0.373102, 0.537863
23, -0.0259853, -0.015475, 0.0190008, 0.0310464, 0.0208752, 0.0122566, -0.152465, -0.120989, -0.269952, 0.520239
24, -0.0259853, -0.015475, 0.0190008, 0.0310464, 0.0239996, 0.014851, -0.186351, -0.15473, -0.337024, 0.531083
25, -0.0259853, -0.015475, 0.0155677, 0.0284257, 0.0205665, 0.0122302, -0.133976, -0.102281, -0.234478, 0.515309
26, -0.0259853, -0.015475, 0.0155677, 0.0284257, 0.0235285, 0.0146354, -0.169325, -0.137484, -0.304457, 0.525476
27, -0.0259853, -0.015475, 0.0155677, 0.0284257, 0.0267727, 0.0173657, -0.201852, -0.169868, -0.368754, 0.536825
28, -0.0225657, -0.0125251, 0.0189873, 0.0313756, 0.0301922, 0.0203156, -0.231623, -0.199844, -0.427812, 0.548835
29, -0.0272186, -0.0163546, 0.0189873, 0.0313756, 0.0255393, 0.0164861, -0.179614, -0.147832, -0.324191, 0.528824
30, -0.0272186, -0.0163546, 0.0157329, 0.0289359, 0.0222849, 0.0140463, -0.127336, -0.095468, -0.22191, 0.513715
31, -0.0272186, -0.0163546, 0.0157329, 0.0289359, 0.0251821, 0.0163755, -0.163233, -0.131219, -0.292914, 0.523613
32, -0.0300735, -0.0183962, 0.0157329, 0.0289359, 0.0223272, 0.0143339, -0.112557, -0.0804905, -0.191457, 0.510283
33, -0.0316351, -0.0191703, 0.0157329, 0.0289359, 0.0207656, 0.0135598, -0.0637668, -0.0316104, -0.0934982, 0.502496
34, -0.0295248, -0.0177031, 0.0178433, 0.0304031, 0.022876, 0.015027, -0.104323, -0.0725405, -0.174415, 0.508591
35, -0.026874, -0.0156407, 0.020494, 0.0324656, 0.0255267, 0.0170895, -0.141896, -0.110421, -0.249141, 0.517335
36, -0.029174, -0.0171507, 0.020494, 0.0324656, 0.0232268, 0.0155794, -0.0918489, -0.0603049, -0.14898, 0.506322
37, -0.029174, -0.0171507, 0.020494, 0.0324656, 0.0257307, 0.0174761, -0.130634, -0.0989436, -0.22566, 0.514321
38, -0.0311868, -0.0183742, 0.020494, 0.0324656, 0.0237178, 0.0162526, -0.0810481, -0.0492639, -0.126317, 0.504586
39, -0.0311868, -0.0183742, 0.020494, 0.0324656, 0.0260832, 0.0179924, -0.12071, -0.088779, -0.20471, 0.51187
40, -0.0283486, -0.0161078, 0.0233322, 0.034732, 0.0289214, 0.0202588, -0.157118, -0.125489, -0.276971, 0.521441
41, -0.0283486, -0.0161078, 0.0206736, 0.0328743, 0.0262628, 0.0184011, -0.105235, -0.0735366, -0.175846, 0.508762
42, -0.0283486, -0.0161078, 0.0193255, 0.0323001, 0.0249147, 0.0178269, -0.055403, -0.0235993, -0.0784675, 0.501748
43, -0.0283486, -0.0161078, 0.0191363, 0.032848, 0.0247255, 0.0183748, -0.00819759, 0.023742, 0.0139006, 0.500059
44, -0.0283486, -0.0161078, 0.0191363, 0.032848, 0.0258964, 0.0188366, -0.0529644, -0.0208844, -0.0745397, 0.501562
45, -0.0285093, -0.0155272, 0.0191363, 0.032848, 0.0257357, 0.0194172, -0.00697858, 0.0252207, 0.0175448, 0.50009
46, -0.0285093, -0.0155272, 0.0199373, 0.0343466, 0.0265368, 0.0209158, 0.0371429, 0.0695016, 0.103852, 0.503104
47, -0.0282704, -0.0160351, 0.0201762, 0.0338388, 0.0267756, 0.0204079, -0.0101848, 0.0216635, 0.0100391, 0.500032
48, -0.0275503, -0.0146211, 0.0201762, 0.0338388, 0.0274957, 0.0218219, 0.0331844, 0.0651599, 0.0968421, 0.502681
49, -0.0275503, -0.0146211, 0.0216762, 0.0359858, 0.0289958, 0.0239689, 0.0744593, 0.106596, 0.17747, 0.508964
