x, y
-3.14159, -1
-3.07813, -0.997987
-3.01466, -0.991955
-2.95119, -0.981929
-2.88773, -0.967949
-2.82426, -0.950071
-2.76079, -0.928368
-2.69733, -0.902927
-2.63386, -0.873849
-2.57039, -0.841254
-2.50693, -0.80527
-2.44346, -0.766044
-2.37999, -0.723734
-2.31653, -0.678509
-2.25306, -0.630553
-2.18959, -0.580057
-2.12613, -0.527225
-2.06266, -0.472271
-1.9992, -0.415415
-1.93573, -0.356886
-1.87226, -0.29692
-1.8088, -0.235759
-1.74533, -0.173648
-1.68186, -0.110838
-1.6184, -0.0475819
-1.55493, 0.015866
-1.49146, 0.07925
-1.428, 0.142315
-1.36453, 0.204807
-1.30106, 0.266474
-1.2376, 0.327068
-1.17413, 0.386345
-1.11066, 0.444067
-1.0472, 0.5
-0.983731, 0.55392
-0.920265, 0.60561
-0.856798, 0.654861
-0.793331, 0.701475
-0.729865, 0.745264
-0.666398, 0.786053
-0.602932, 0.823677
-0.539465, 0.857983
-0.475999, 0.888835
-0.412532, 0.916108
-0.349066, 0.939693
-0.285599, 0.959493
-0.222133, 0.97543
-0.158666, 0.987439
-0.0951998, 0.995472
-0.0317333, 0.999497
0.0317333, 0.999497
0.0951998, 0.995472
0.158666, 0.987439
0.222133, 0.97543
0.285599, 0.959493
0.349066, 0.939693
0.412532, 0.916108
0.475999, 0.888835
0.539465, 0.857983
0.602932, 0.823677
0.666398, 0.786053
0.729865, 0.745264
0.793331, 0.701475
0.856798, 0.654861
0.920265, 0.60561
0.983731, 0.55392
1.0472, 0.5
1.11066, 0.444067
1.17413, 0.386345
1.2376, 0.327068
1.30106, 0.266474
1.36453, 0.204807
1.428, 0.142315
1.49146, 0.07925
1.55493, 0.015866
1.6184, -0.0475819
1.68186, -0.110838
1.74533, -0.173648
1.8088, -0.235759
1.87226, -0.29692
1.93573, -0.356886
1.9992, -0.415415
2.06266, -0.472271
2.12613, -0.527225
2.18959, -0.580057
2.25306, -0.630553
2.31653, -0.678509
2.37999, -0.723734
2.44346, -0.766044
2.50693, -0.80527
2.57039, -0.841254
2.63386, -0.873849
2.69733, -0.902927
2.76079, -0.928368
2.82426, -0.950071
2.88773, -0.967949
2.95119, -0.981929
3.01466, -0.991955
3.07813, -0.997987
3.14159, -1
